SLNO,merge_identity,date_sampled,species,location,Sex,Age,BCS,PlateNo,NiVsG ,NiVsF,NiVN,HeVsG,CedVsG,EboVGP,MarVGP,MenVN,SARSN,MERSN,R-NiVsG,R-NiVsF,R-NiVN,R-HeVsG,R-CedVsG,R-EbovGP,R-MarVGP,R-MenVN,R-SARSN,R-MERSN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SB-BD-001,08.02.2012,Cynopterus sphinx," Sadar,Faridpur",Female,Adult,Fair,1,103,88,126,65,110,114,91,250,131,188,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SB-BD-002,08.02.2012,Cynopterus sphinx," Sadar,Faridpur",Male ,Adult,Fair,1,324,124,135,110,100,84,117,1042,353,295,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SB-BD-003,08.02.2012,Cynopterus sphinx," Sadar,Faridpur",Male ,Adult,Fair,1,136,79,132,112,86,102,75,553,113,200,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SB-BD-004,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Male ,Adult,Good,1,8239,136,150,4934,389,4013,833,2102,133,386,2842,117,127,3371,179,2418,200,2269,105,151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SB-BD-005,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Female,Adult,Good,1,154,167,272,116,114,165,127,622,305,754,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SB-BD-006,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Male ,Adult,Good,1,15342,138,161,9572,758,9545,645,1217,141,222,6088,176,107,7843,341,7071,319,1876,101,124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SB-BD-007,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Female,Adult,Good,1,137,106,157,86,84,126,63,223,106,172,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SB-BD-008,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Female,Adult,Good,1,105,122,153,62,98,151,111,2222,120,349,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SB-BD-009,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Male ,Adult,Good,1,157,102,148,96,95,225,111,447,93,651,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SB-BD-010,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Female,Adult,Good,1,374,121,234,79,434,1355,104,793,159,389,150,132,186,126,175,448,75,926,172,194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SB-BD-011,09.02.2012,Cynopterus sphinx," Sadar,Faridpur",Female,Adult,Good,1,140,96,104,64,107,182,65,1046,370,215,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
